sex,height_cm,weight_kg,arm_span_cm,climbing_years,climbing_frequency,training_hours,hangboard_frequency,campus_frequency,endurance_frequency,general_strength_frequency,max_pull_ups,trains_full_crimp,trains_half_crimp,trains_open_crimp,trains_front_3,trains_back_3,trains_front_2,trains_middle_2,trains_back_2,trains_slopers,trains_pinch,trains_monos,trains_repeaters,trains_max_weight,trains_min_edge,trains_one_arm_hang,trains_no_hangs,trains_other_protocol,trains_laps_of_routes,trains_4x4,trains_arc,trains_systems_boards,trains_max_moves,trains_route_climbing_intervals,trains_threshold_intervals,trains_antagonists,trains_legs,trains_core,trains_upper_body_pulling,trains_upper_body_pushing,climbs_indoors,climbs_outdoors,boulders,route_climbs,cardio,yoga,climbing_session_length,general_strength_session_length,campus_session_length,max_boulder_grade
True,182.0,76.0,180.0,4.75,1,3,1,0,0,1,10,False,True,True,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,3.0,2.0,0.0,6
True,175.0,80.28594497010823,168.0,3.75,2,3,0,0,0,3,25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,2.5,2.0,0.0,9
True,178.0,70.3,178.0,0.25,3,3,0,0,0,3,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,1.6666666666666667,1.0,0.0,4
True,183.0,80.0,187.0,1.75,3,0,0,0,0,2,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,2.0,2.0,0.0,4
True,175.0,85.0,180.0,3.25,4,3,2,1,2,3,,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True,True,True,False,False,True,False,2.0,1.3333333333333333,1.0,8
True,182.0,73.0,184.0,14.75,3,5,2,0,0,5,15,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,False,False,0.6666666666666666,0.6,0.0,8
True,173.0,58.0,173.0,1.75,2,2,2,0,2,2,,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,True,False,True,False,False,2.5,1.0,0.0,8
True,184.0,78.01798042293004,184.0,8.25,3,5,3,2,0,3,13,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,2.3333333333333335,0.6666666666666666,0.5,11
True,193.0,79.0,193.0,2.25,3,6,3,0,0,3,20,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,False,False,False,False,2.3333333333333335,2.0,0.0,8
True,174.0,65.0,176.0,1.25,3,1,0,0,0,1,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,True,False,2.6666666666666665,1.0,0.0,5
True,186.0,72.5,190.0,2.25,4,8,3,0,3,3,20,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,2.0,2.0,0.0,8
True,188.0,73.0,189.0,0.25,1,8,0,0,2,2,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True,False,3.0,2.0,0.0,
False,172.72,79.3787,,2.75,4,2,0,1,1,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,2.5,1.5,1.0,3
True,182.0,79.0,184.0,2.75,3,1,0,0,0,3,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,True,True,True,True,True,False,False,True,False,3.3333333333333335,2.3333333333333335,0.0,6
True,178.0,74.0,170.0,0.75,4,0,0,0,1,3,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,2.5,1.0,0.0,5
True,170.0,59.0,172.0,2.75,5,3,1,1,2,2,20,False,False,True,True,False,True,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True,True,True,False,True,True,False,3.4,1.0,1.0,8
False,168.0,69.0,165.0,4.75,4,1,0,0,1,1,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,True,True,False,False,True,True,2.0,2.0,0.0,6
True,185.0,79.0,185.0,2.75,5,2,2,1,0,2,,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,2.4,0.5,1.0,6
True,195.0,85.0,,1.75,3,2,0,1,1,1,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,1.6666666666666667,1.0,1.0,5
True,176.0,63.5,175.0,2.75,3,4,3,0,0,4,,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,True,2.6666666666666665,1.0,0.0,9
False,165.0,56.0,165.0,3.25,3,2,1,1,0,2,,False,False,True,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,3.0,2.0,1.0,6
True,178.0,72.0,180.0,10.25,4,6,3,0,1,2,18,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,True,True,False,False,False,False,1.75,0.5,0.0,9
True,185.0,73.0,187.0,6.75,5,6,2,0,0,2,,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,False,False,False,False,2.0,0.5,0.0,11
True,182.8,76.0,189.0,15.25,2,8,3,1,1,1,12,True,True,True,False,False,True,True,False,True,True,False,True,True,False,False,False,True,False,False,True,False,False,True,False,True,False,True,True,True,True,True,False,False,True,False,2.0,1.0,1.0,8
True,178.0,72.0,178.0,1.75,3,3,1,0,1,3,10,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,True,3.3333333333333335,0.6666666666666666,0.0,8
True,180.0,86.0,177.0,0.75,3,2,1,1,1,0,45,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,3.0,0.0,1.0,7
True,174.0,75.0,180.0,11.75,3,0,2,0,1,0,20,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,2.6666666666666665,0.0,0.0,6
True,178.0,59.0,183.0,2.75,3,3,2,2,1,2,12,False,True,False,False,False,False,True,False,True,True,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,True,False,2.0,0.5,1.0,8
True,175.0,73.0,183.0,0.25,2,2,0,0,2,2,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,False,False,True,True,False,2.0,1.0,0.0,2
True,178.0,70.0,195.0,14.75,4,4,2,1,1,3,25,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,3.0,1.0,1.0,13
False,170.0,59.0,173.0,1.25,4,12,0,0,2,2,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,False,1.75,1.0,0.0,
True,177.0,70.0,185.5,5.25,4,1,1,0,1,4,,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,1.75,0.75,0.0,7
True,178.0,75.0,180.0,5.75,4,5,1,0,1,4,12,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,1.25,0.75,0.0,7
False,165.0,65.0,163.0,4.75,4,0,0,0,1,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2.25,0.0,0.0,4
True,174.0,73.0,179.0,4.25,3,2,2,0,0,1,15,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,1.6666666666666667,1.0,0.0,7
True,180.0,65.77,185.0,8.25,4,10,2,0,0,2,30,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False,True,False,False,1.25,2.0,0.0,11
False,171.0,74.0,178.0,2.75,1,0,0,0,0,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,3.0,0.0,0.0,5
